CombID	label	meta	pred
1	disjoint	org	disjoint
2	disjoint	add	independent
3	reverseentailment	org	reverseentailment
4	disjoint	org	disjoint
5	disjoint	add	disjoint
6	reverseentailment	org	synonym
7	reverseentailment	add	reverseentailment
8	disjoint	org	independent
9	disjoint	add	disjoint
10	reverseentailment	org	reverseentailment
11	reverseentailment	org	reverseentailment
12	disjoint	add	independent
13	synonym	org	synonym
14	disjoint	add	independent
15	disjoint	add	independent
16	reverseentailment	org	forwardentailment
17	disjoint	org	forwardentailment
18	disjoint	org	independent
19	disjoint	org	disjoint
20	reverseentailment	org	reverseentailment
21	disjoint	org	independent
22	disjoint	org	independent
23	disjoint	org	disjoint
24	disjoint	org	independent
25	forwardentailment	org	independent
26	disjoint	add	forwardentailment
27	disjoint	org	independent
28	disjoint	add	independent
29	disjoint	add	independent
30	disjoint	org	independent
31	independent	org	independent
32	disjoint	add	independent
33	synonym	org	forwardentailment
34	disjoint	add	reverseentailment
35	disjoint	org	disjoint
36	disjoint	add	disjoint
37	independent	org	independent
38	synonym	org	forwardentailment
39	independent	org	independent
40	disjoint	add	disjoint
41	independent	org	independent
42	disjoint	add	independent
43	disjoint	org	disjoint
44	disjoint	add	disjoint
45	independent	org	independent
46	forwardentailment	org	forwardentailment
47	independent	org	independent
48	disjoint	add	independent
49	disjoint	add	independent
50	independent	org	independent
51	disjoint	add	independent
52	disjoint	add	independent
53	forwardentailment	org	disjoint
54	independent	org	synonym
55	disjoint	org	disjoint
56	disjoint	add	disjoint
57	disjoint	org	disjoint
58	forwardentailment	org	forwardentailment
59	forwardentailment	org	forwardentailment
60	forwardentailment	org	forwardentailment
61	disjoint	add	independent
62	disjoint	org	disjoint
63	disjoint	add	disjoint
64	forwardentailment	org	forwardentailment
65	forwardentailment	add	forwardentailment
66	disjoint	add	independent
67	forwardentailment	org	independent
68	disjoint	add	disjoint
69	disjoint	org	disjoint
70	forwardentailment	org	forwardentailment
71	forwardentailment	add	independent
72	independent	add	independent
73	independent	org	reverseentailment
74	disjoint	add	disjoint
75	disjoint	add	disjoint
76	independent	org	independent
77	disjoint	add	disjoint
78	disjoint	add	independent
79	independent	org	disjoint
80	disjoint	add	disjoint
81	disjoint	add	disjoint
82	disjoint	org	independent
83	independent	org	independent
84	disjoint	add	independent
85	synonym	org	synonym
86	disjoint	add	independent
87	independent	org	independent
88	disjoint	add	independent
89	disjoint	org	disjoint
90	disjoint	add	disjoint
91	disjoint	add	disjoint
92	reverseentailment	org	reverseentailment
93	disjoint	org	independent
94	reverseentailment	org	reverseentailment
95	reverseentailment	add	reverseentailment
96	reverseentailment	org	independent
97	independent	add	independent
98	independent	org	independent
99	independent	add	independent
100	independent	org	independent
101	forwardentailment	org	forwardentailment
102	independent	add	forwardentailment
103	independent	add	forwardentailment
104	reverseentailment	org	forwardentailment
105	reverseentailment	org	reverseentailment
106	forwardentailment	org	independent
107	independent	add	independent
108	disjoint	org	disjoint
109	disjoint	org	disjoint
110	disjoint	add	independent
111	reverseentailment	org	reverseentailment
112	independent	org	independent
113	disjoint	add	independent
114	disjoint	org	reverseentailment
115	forwardentailment	org	forwardentailment
116	reverseentailment	org	reverseentailment
117	independent	org	independent
118	disjoint	add	disjoint
119	disjoint	org	disjoint
120	independent	org	disjoint
121	forwardentailment	org	independent
122	reverseentailment	org	reverseentailment
123	reverseentailment	add	reverseentailment
124	reverseentailment	add	reverseentailment
125	reverseentailment	org	reverseentailment
126	reverseentailment	org	reverseentailment
127	disjoint	org	independent
128	disjoint	add	independent
129	independent	org	independent
130	disjoint	add	independent
131	synonym	org	synonym
132	disjoint	org	independent
133	independent	add	independent
134	reverseentailment	org	independent
135	forwardentailment	org	disjoint
136	disjoint	org	disjoint
137	disjoint	org	disjoint
138	forwardentailment	org	independent
139	forwardentailment	org	independent
140	reverseentailment	org	reverseentailment
141	disjoint	org	disjoint
142	disjoint	org	disjoint
143	forwardentailment	org	reverseentailment
144	independent	add	disjoint
145	independent	org	forwardentailment
146	independent	org	independent
147	forwardentailment	org	disjoint
148	disjoint	org	disjoint
149	disjoint	org	independent
150	disjoint	org	disjoint
151	reverseentailment	org	disjoint
152	disjoint	org	independent
153	disjoint	add	independent
154	independent	org	independent
155	independent	add	disjoint
156	independent	org	independent
157	disjoint	add	disjoint
158	independent	org	disjoint
159	disjoint	add	disjoint
160	disjoint	add	independent
161	reverseentailment	org	reverseentailment
162	disjoint	org	independent
163	synonym	org	synonym
164	forwardentailment	org	forwardentailment
165	independent	add	independent
166	independent	org	disjoint
167	independent	org	independent
168	independent	org	independent
169	disjoint	org	disjoint
170	disjoint	add	disjoint
171	independent	org	independent
172	independent	add	disjoint
173	independent	org	forwardentailment
174	disjoint	add	disjoint
175	forwardentailment	org	disjoint
176	disjoint	add	disjoint
177	independent	add	independent
178	forwardentailment	org	forwardentailment
179	forwardentailment	add	forwardentailment
180	disjoint	org	disjoint
181	independent	add	reverseentailment
182	disjoint	org	disjoint
183	disjoint	add	disjoint
184	disjoint	add	disjoint
185	forwardentailment	org	forwardentailment
186	disjoint	org	independent
187	forwardentailment	org	disjoint
188	disjoint	add	independent
189	disjoint	add	disjoint
190	reverseentailment	org	reverseentailment
191	independent	add	reverseentailment
192	reverseentailment	add	reverseentailment
193	forwardentailment	org	forwardentailment
194	disjoint	add	forwardentailment
195	disjoint	org	disjoint
196	disjoint	add	disjoint
197	disjoint	add	disjoint
198	disjoint	org	disjoint
199	forwardentailment	org	independent
200	independent	org	disjoint
201	forwardentailment	org	disjoint
202	disjoint	add	disjoint
203	independent	org	forwardentailment
204	reverseentailment	org	reverseentailment
205	forwardentailment	org	forwardentailment
206	forwardentailment	add	forwardentailment
207	forwardentailment	add	forwardentailment
208	disjoint	org	forwardentailment
209	reverseentailment	org	reverseentailment
210	reverseentailment	add	independent
211	disjoint	add	disjoint
212	disjoint	org	disjoint
213	disjoint	org	disjoint
214	disjoint	add	disjoint
215	synonym	org	forwardentailment
216	disjoint	org	disjoint
217	reverseentailment	org	disjoint
218	disjoint	add	disjoint
219	disjoint	add	disjoint
220	independent	org	forwardentailment
221	forwardentailment	org	forwardentailment
222	independent	add	independent
223	forwardentailment	org	disjoint
224	independent	org	disjoint
225	forwardentailment	org	forwardentailment
226	disjoint	add	forwardentailment
227	disjoint	org	disjoint
228	independent	org	independent
229	independent	org	disjoint
230	disjoint	add	disjoint
231	disjoint	add	independent
232	reverseentailment	org	independent
233	disjoint	org	disjoint
234	disjoint	add	disjoint
235	disjoint	org	disjoint
236	disjoint	add	disjoint
237	forwardentailment	org	forwardentailment
238	independent	add	independent
239	forwardentailment	add	forwardentailment
240	reverseentailment	org	reverseentailment
241	reverseentailment	add	reverseentailment
242	forwardentailment	org	forwardentailment
243	forwardentailment	add	forwardentailment
244	disjoint	org	disjoint
245	disjoint	add	disjoint
246	reverseentailment	org	reverseentailment
247	independent	add	independent
248	reverseentailment	add	reverseentailment
249	reverseentailment	org	reverseentailment
250	reverseentailment	add	reverseentailment
251	reverseentailment	add	reverseentailment
252	independent	org	reverseentailment
253	forwardentailment	org	forwardentailment
254	reverseentailment	org	reverseentailment
255	synonym	org	forwardentailment
256	synonym	org	forwardentailment
257	disjoint	org	independent
258	synonym	org	forwardentailment
259	independent	org	reverseentailment
260	disjoint	add	independent
261	synonym	org	reverseentailment
262	disjoint	add	independent
263	disjoint	add	independent
264	disjoint	org	disjoint
265	reverseentailment	org	synonym
266	reverseentailment	org	reverseentailment
267	independent	add	reverseentailment
268	disjoint	add	disjoint
269	independent	org	independent
270	disjoint	add	disjoint
271	disjoint	org	independent
272	disjoint	org	independent
273	independent	org	independent
274	disjoint	org	disjoint
275	disjoint	add	disjoint
276	forwardentailment	org	forwardentailment
277	independent	org	independent
278	independent	org	disjoint
279	disjoint	add	disjoint
280	independent	org	reverseentailment
281	disjoint	org	disjoint
282	reverseentailment	org	reverseentailment
283	reverseentailment	org	reverseentailment
284	disjoint	add	disjoint
285	independent	org	disjoint
286	independent	org	independent
287	disjoint	add	disjoint
288	synonym	org	forwardentailment
289	disjoint	org	disjoint
290	disjoint	org	disjoint
291	independent	org	disjoint
292	independent	org	independent
293	forwardentailment	add	forwardentailment
294	disjoint	org	disjoint
295	forwardentailment	org	independent
296	independent	org	reverseentailment
297	independent	org	independent
298	independent	org	independent
299	independent	org	independent
